,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
131,"lovely (with Khalid)","Billie Eilish",1034239,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
132,"Go Part 1 (with G Herbo)","Polo G",1033891,https://open.spotify.com/track/1EnWTwagv0XR5OJ51WMdzj
133,Believer,"Imagine Dragons",1033068,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
134,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",1025621,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
135,"you broke me first","Tate McRae",1024055,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
136,Reloj,"Rauw Alejandro",1022009,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
137,Aloha,Maluma,1021440,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
138,"Volta Bebê, Volta Neném","Dj Guuga",1021233,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
139,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",989890,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
140,"Fame & Riches (with Roddy Ricch)","Polo G",986670,https://open.spotify.com/track/7oPHGO39MQVukHZjdz4b9S
141,Dinero,"Trinidad Cardona",985105,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
142,"m y . l i f e (with 21 Savage & Morray)","J. Cole",984490,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
143,"Good Days",SZA,981792,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
144,"WAP (feat. Megan Thee Stallion)","Cardi B",979360,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
145,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",976460,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
146,"Follow You","Imagine Dragons",974622,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
147,"What You See (feat. Justin Bieber)",Migos,973161,https://open.spotify.com/track/58H8cWvvaFLFg2g7SdOO44
148,Señorita,"Shawn Mendes",967044,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
149,Heather,"Conan Gray",965912,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
150,"Another Love","Tom Odell",957606,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
151,"Bloody Canvas","Polo G",954292,https://open.spotify.com/track/7Cj3tnMCpXpHgE8CIISbGq
152,"Shape of You","Ed Sheeran",943367,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
153,"Little Bit of Love","Tom Grennan",941114,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
154,Shallow,"Lady Gaga",940449,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
155,"So Real","Polo G",937452,https://open.spotify.com/track/0NvHg9fiix03UG7hdYx6DI
156,malibu,sangiovanni,933857,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
157,"bad guy","Billie Eilish",927872,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
158,"Breaking Me",Topic,927833,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
159,goosebumps,"Travis Scott",924691,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
160,Hawái,Maluma,922500,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
161,"For the Love of New York (with Nicki Minaj)","Polo G",922494,https://open.spotify.com/track/09b7tlISM5nQic0l2Qv9lP
162,Loco,"Justin Quiles",918713,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
163,"Zooted Freestyle","Polo G",910970,https://open.spotify.com/track/43Ykyd3WD3tfaFDhunMZHp
